id,label,source_set,parent_domain,subdomain,specialty,metric_type,unit,direction,organisation_scope,scoring_status,nof_domain,nof_subdomain,source_url,notes
CWT_2WW,Percentage of urgent suspected cancer referrals seen within 2 weeks,cancer,Cancer,2-week wait,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,No longer a constitutional standard but still reported
CWT_BREAST_2WW,Percentage of symptomatic breast referrals seen within 2 weeks,cancer,Cancer,2-week wait,Breast surgery,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_28D_FDS,Percentage of patients receiving faster diagnosis within 28 days of urgent referral,cancer,Cancer,Faster diagnosis,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,FDS: 75% standard
CWT_31D_FIRST,Percentage of patients receiving first cancer treatment within 31 days of decision to treat,cancer,Cancer,31-day first treatment,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,96% standard
CWT_31D_DRUG,Percentage of patients receiving subsequent drug cancer treatment within 31 days,cancer,Cancer,31-day subsequent - drug,Oncology,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,98% standard
CWT_31D_RADIO,Percentage of patients receiving subsequent radiotherapy within 31 days,cancer,Cancer,31-day subsequent - radiotherapy,Clinical Oncology,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,94% standard
CWT_31D_SURGERY,Percentage of patients receiving subsequent surgery within 31 days,cancer,Cancer,31-day subsequent - surgery,Surgery,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,94% standard
CWT_62D_REFERRAL,Percentage of patients treated for cancer within 62 days of urgent referral,cancer,Cancer,62-day treatment,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,85% standard
CWT_62D_SCREENING,Percentage of patients treated for cancer within 62 days of screening referral,cancer,Cancer,62-day treatment - screening,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,90% standard
CWT_62D_UPGRADE,Percentage of patients treated for cancer within 62 days of consultant upgrade,cancer,Cancer,62-day treatment - upgrade,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_PTL_SIZE,Cancer patient tracking list size,cancer,Cancer,PTL management,,count,patients,lower_better,Acute trusts,operational,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_BACKLOG_LONG,Number of cancer patients waiting longer than 104 days,cancer,Cancer,PTL long waits,,count,patients,lower_better,Acute trusts,operational,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_TUMOUR_LUNG,Cancer 62-day performance: Lung,cancer,Cancer,62-day by tumour site,Respiratory,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_TUMOUR_COLORECTAL,Cancer 62-day performance: Colorectal,cancer,Cancer,62-day by tumour site,Colorectal surgery,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_TUMOUR_BREAST,Cancer 62-day performance: Breast,cancer,Cancer,62-day by tumour site,Breast surgery,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_TUMOUR_UROLOGY,Cancer 62-day performance: Urology,cancer,Cancer,62-day by tumour site,Urology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_TUMOUR_GYNAECOLOGY,Cancer 62-day performance: Gynaecology,cancer,Cancer,62-day by tumour site,Gynaecology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_TUMOUR_HAEMATOLOGY,Cancer 62-day performance: Haematology,cancer,Cancer,62-day by tumour site,Haematology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_TUMOUR_SKIN,Cancer 62-day performance: Skin,cancer,Cancer,62-day by tumour site,Dermatology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_TUMOUR_UGI,Cancer 62-day performance: Upper GI,cancer,Cancer,62-day by tumour site,Upper GI surgery,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
CWT_TUMOUR_CNS,Cancer 62-day performance: Central nervous system,cancer,Cancer,62-day by tumour site,Neurosurgery,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,
