id,label,source_set,parent_domain,subdomain,specialty,metric_type,unit,direction,organisation_scope,scoring_status,nof_domain,nof_subdomain,source_url,notes
CONST_RTT_18W,Percentage of incomplete RTT pathways within 18 weeks,constitutional_standards,Elective Care,RTT,,rate,%,higher_better,Acute trusts,standard,,,"https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/",92% standard
CONST_DIAG_6W,Percentage of diagnostic waits within 6 weeks,constitutional_standards,Diagnostics,Diagnostic waits,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,99% standard (DM01 return)
CONST_CANCER_62D,Percentage of patients treated for cancer within 62 days of urgent referral,constitutional_standards,Cancer,62-day treatment,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,85% standard
CONST_CANCER_31D_FIRST,Percentage of patients receiving first cancer treatment within 31 days of decision to treat,constitutional_standards,Cancer,31-day first treatment,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,96% standard
CONST_CANCER_31D_DRUG,Percentage of patients receiving subsequent drug treatment for cancer within 31 days,constitutional_standards,Cancer,31-day subsequent - drug,Oncology,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,98% standard
CONST_CANCER_31D_RADIO,Percentage of patients receiving subsequent radiotherapy for cancer within 31 days,constitutional_standards,Cancer,31-day subsequent - radiotherapy,Oncology,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,94% standard
CONST_CANCER_31D_SURGERY,Percentage of patients receiving subsequent surgery for cancer within 31 days,constitutional_standards,Cancer,31-day subsequent - surgery,Surgery,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,94% standard
CONST_CANCER_28D_FDS,Percentage of patients with cancer diagnosed or ruled out within 28 days of urgent referral,constitutional_standards,Cancer,Faster diagnosis standard,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancer-waiting-times/,75% standard
CONST_AMB_CAT1_MEAN,Mean ambulance response time for Category 1 calls,constitutional_standards,Emergency Care,Ambulance response,Ambulance,mean,minutes,lower_better,Ambulance trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,7 min mean standard
CONST_AMB_CAT1_90TH,90th centile ambulance response time for Category 1 calls,constitutional_standards,Emergency Care,Ambulance response,Ambulance,centile,minutes,lower_better,Ambulance trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,15 min standard
CONST_AMB_CAT2_MEAN,Mean ambulance response time for Category 2 calls,constitutional_standards,Emergency Care,Ambulance response,Ambulance,mean,minutes,lower_better,Ambulance trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,18 min mean standard
CONST_AMB_CAT2_90TH,90th centile ambulance response time for Category 2 calls,constitutional_standards,Emergency Care,Ambulance response,Ambulance,centile,minutes,lower_better,Ambulance trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,40 min standard
CONST_AMB_CAT3_90TH,90th centile ambulance response time for Category 3 calls,constitutional_standards,Emergency Care,Ambulance response,Ambulance,centile,minutes,lower_better,Ambulance trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,120 min standard
CONST_AMB_CAT4_90TH,90th centile ambulance response time for Category 4 calls,constitutional_standards,Emergency Care,Ambulance response,Ambulance,centile,minutes,lower_better,Ambulance trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,180 min standard
CONST_MH_IAPT_ACCESS,Percentage of people with common mental health problems accessing IAPT services,constitutional_standards,Mental Health,IAPT access,Mental Health,rate,%,higher_better,ICBs,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/iapt-open-data/,
CONST_MH_IAPT_WAIT18,Percentage of IAPT referrals waiting less than 18 weeks to treatment,constitutional_standards,Mental Health,IAPT waiting times,Mental Health,rate,%,higher_better,ICBs,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/iapt-open-data/,75% standard
CONST_MH_IAPT_WAIT6,Percentage of IAPT referrals waiting less than 6 weeks to treatment,constitutional_standards,Mental Health,IAPT waiting times,Mental Health,rate,%,higher_better,ICBs,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/iapt-open-data/,
CONST_CYP_ED_4W,Percentage of children and young people with urgent eating disorder referrals seen within 4 weeks,constitutional_standards,Mental Health,CYP eating disorders,Mental Health / Paediatrics,rate,%,higher_better,NHS England,standard,,,https://www.england.nhs.uk/mental-health/cyp/eating-disorders/,
CONST_CYP_ED_1W,Percentage of children and young people with emergency eating disorder referrals seen within 1 week,constitutional_standards,Mental Health,CYP eating disorders,Mental Health / Paediatrics,rate,%,higher_better,NHS England,standard,,,https://www.england.nhs.uk/mental-health/cyp/eating-disorders/,
