id,label,source_set,parent_domain,subdomain,specialty,metric_type,unit,direction,organisation_scope,scoring_status,nof_domain,nof_subdomain,source_url,notes
DM01_TOTAL_6W,Percentage of all diagnostic waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - total,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,99% constitutional standard
DM01_TOTAL_VOLUME,Total diagnostic test requests,dm01,Diagnostics,Diagnostic activity - total,,count,tests,neutral,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_MRI_6W,Percentage of MRI waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - MRI,Radiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_CT_6W,Percentage of CT waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - CT,Radiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_US_6W,Percentage of non-obstetric ultrasound waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - ultrasound,Radiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_XRAY_6W,Percentage of plain X-ray waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - plain X-ray,Radiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_DEXA_6W,Percentage of DEXA scan waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - DEXA,Radiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_ECHO_6W,Percentage of echocardiography waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - echocardiography,Cardiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_ECHO_STRESS_6W,Percentage of stress echocardiography waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - stress echo,Cardiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_ELECTRO_6W,Percentage of electrophysiology waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - electrophysiology,Cardiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_ENDO_UPPER_6W,Percentage of upper GI endoscopy waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - upper endoscopy,Gastroenterology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_ENDO_LOWER_6W,Percentage of lower GI endoscopy (colonoscopy) waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - lower endoscopy,Gastroenterology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_ENDO_FLEXI_6W,Percentage of flexible sigmoidoscopy waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - flexi-sig,Gastroenterology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_CYSTOSCOPY_6W,Percentage of cystoscopy waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - cystoscopy,Urology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_PATHOLOGY_6W,Percentage of pathology test waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - pathology,Pathology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_NUCLEAR_6W,Percentage of nuclear medicine waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - nuclear medicine,Radiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_PETCT_6W,Percentage of PET-CT waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - PET-CT,Radiology / Oncology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_BIOPSY_6W,Percentage of biopsy waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - biopsy,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_SLEEP_6W,Percentage of sleep study waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - sleep studies,Respiratory,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_URODYNAMICS_6W,Percentage of urodynamics waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - urodynamics,Urology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
DM01_AUDIOLOGY_6W,Percentage of audiology diagnostic waits within 6 weeks,dm01,Diagnostics,Diagnostic waits - audiology,Audiology,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/,
