id,label,source_set,parent_domain,subdomain,specialty,metric_type,unit,direction,organisation_scope,scoring_status,nof_domain,nof_subdomain,source_url,notes
RTT_18W_INCOMPLETE,Percentage of incomplete RTT pathways within 18 weeks,elective,Elective Care,RTT,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,92% standard
RTT_52W_COUNT,Number of patients waiting more than 52 weeks on an incomplete RTT pathway,elective,Elective Care,RTT - long waits,,count,patients,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,
RTT_65W_COUNT,Number of patients waiting more than 65 weeks on an incomplete RTT pathway,elective,Elective Care,RTT - long waits,,count,patients,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,
RTT_78W_COUNT,Number of patients waiting more than 78 weeks on an incomplete RTT pathway,elective,Elective Care,RTT - long waits,,count,patients,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,
RTT_PTL_SIZE,Total incomplete RTT waiting list size,elective,Elective Care,Waiting list management,,count,patients,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,
RTT_CLOCK_STARTS,Number of new RTT clock starts per week,elective,Elective Care,Waiting list management,,count,pathways,neutral,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,Proxy for referral demand
RTT_CLOCK_STOPS,Number of RTT clock stops per week,elective,Elective Care,Waiting list management,,count,pathways,neutral,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,Proxy for treatment throughput
RTT_MEDIAN_WAIT,Median waiting time for incomplete pathways,elective,Elective Care,RTT,,median,weeks,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,
RTT_ADMITTED_PERF,Percentage of admitted RTT pathways completed within 18 weeks,elective,Elective Care,RTT - admitted,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,
RTT_NON_ADMITTED_PERF,Percentage of non-admitted RTT pathways completed within 18 weeks,elective,Elective Care,RTT - non-admitted,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,
RTT_VALIDATION_RATE,Percentage of waiting list validated in past 3 months,elective,Elective Care,Waiting list management,,rate,%,higher_better,Acute trusts,operational,,,,,Local operational metric
ELECTIVE_ADMISSION_RATE,Elective admissions per week,elective,Elective Care,Elective activity,,count,admissions,neutral,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/hospital-activity/,
ELECTIVE_DAYCASE_RATE,Day case rate as percentage of elective admissions,elective,Elective Care,Elective activity,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/hospital-activity/,Higher indicates more efficient delivery
ELECTIVE_DNA_RATE,Did not attend rate for elective pre-operative appointments,elective,Elective Care,Waiting list management,,rate,%,lower_better,Acute trusts,reported,,,,,Local operational metric
ELECTIVE_CANCELLED_HOSP,Number of elective operations cancelled on day of surgery for non-clinical reasons,elective,Elective Care,Elective quality,,count,operations,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancelled-elective-operations/,
ELECTIVE_CANCELLED_28D,Percentage of cancelled operations not re-booked within 28 days,elective,Elective Care,Elective quality,,rate,%,lower_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/cancelled-elective-operations/,Constitutional right to rebook within 28 days
