id,label,source_set,parent_domain,subdomain,specialty,metric_type,unit,direction,organisation_scope,scoring_status,nof_domain,nof_subdomain,source_url,notes
ED_4HR_ALL,Percentage of all ED attendances within 4 hours,emergency_care,Emergency Care,ED time to disposition,,rate,%,higher_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,Aggregate type 1/2/3
ED_4HR_TYPE1,Percentage of type 1 (major) ED attendances within 4 hours,emergency_care,Emergency Care,ED time to disposition,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,Type 1 = consultant-led
ED_4HR_TYPE2,Percentage of type 2 ED attendances within 4 hours,emergency_care,Emergency Care,ED time to disposition,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,Type 2 = consultant-led single specialty
ED_4HR_TYPE3,Percentage of type 3/4 ED attendances within 4 hours,emergency_care,Emergency Care,ED time to disposition,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,Type 3/4 = urgent treatment centres etc
ED_12HR_DTA,Number of patients spending 12 or more hours in ED from decision to admit,emergency_care,Emergency Care,ED long stay,,count,patients,lower_better,Acute trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,Zero tolerance standard
ED_12HR_ARRIVAL,Percentage of ED attendances spending over 12 hours from arrival to departure,emergency_care,Emergency Care,ED long stay,,rate,%,lower_better,Acute trusts,scored (NOF),,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,NOF metric
ED_ATTENDANCES,Total ED attendances,emergency_care,Emergency Care,ED activity,,count,attendances,neutral,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,
ED_ADMISSIONS,ED attendances resulting in emergency admission,emergency_care,Emergency Care,ED activity,,count,admissions,neutral,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,
ED_ADMISSION_RATE,Percentage of ED attendances resulting in admission,emergency_care,Emergency Care,ED conversion,,rate,%,neutral,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,
ED_LWBS,Percentage of ED patients who left without being seen,emergency_care,Emergency Care,ED quality,,rate,%,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,
ED_REATTENDANCE_7D,Percentage of ED patients reattending within 7 days,emergency_care,Emergency Care,ED quality,,rate,%,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,
AMB_HANDOVER_15,Number of ambulance handovers taking more than 15 minutes,emergency_care,Emergency Care,Ambulance handover,Ambulance,count,handovers,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,
AMB_HANDOVER_30,Number of ambulance handovers taking more than 30 minutes,emergency_care,Emergency Care,Ambulance handover,Ambulance,count,handovers,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,
AMB_HANDOVER_60,Number of ambulance handovers taking more than 60 minutes,emergency_care,Emergency Care,Ambulance handover,Ambulance,count,handovers,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,
AMB_CAT1_MEAN,Mean ambulance response time for Category 1 calls,emergency_care,Emergency Care,Ambulance response,Ambulance,mean,minutes,lower_better,Ambulance trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,7 min standard
AMB_CAT2_MEAN,Mean ambulance response time for Category 2 calls,emergency_care,Emergency Care,Ambulance response,Ambulance,mean,minutes,lower_better,Ambulance trusts,standard,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ambulance-quality-indicators/,18 min standard
SDEC_UTILISATION,Percentage utilisation of SDEC capacity,emergency_care,Emergency Care,SDEC,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/urgent-emergency-care/same-day-emergency-care/,
SDEC_CONVERSION,Percentage of SDEC attendances resulting in admission,emergency_care,Emergency Care,SDEC,,rate,%,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/urgent-emergency-care/same-day-emergency-care/,Lower indicates effective ambulatory care
SDEC_REFERRAL_RATE,Percentage of eligible emergency patients referred to SDEC,emergency_care,Emergency Care,SDEC,,rate,%,higher_better,Acute trusts,reported,,,https://www.england.nhs.uk/urgent-emergency-care/same-day-emergency-care/,
ED_MEDIAN_WAIT_MAJORS,Median wait time for type 1 ED attendances,emergency_care,Emergency Care,ED time to disposition,,median,minutes,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,
ED_TROLLEY_WAITS,Number of patients on trolleys in ED awaiting a ward bed,emergency_care,Emergency Care,ED boarding,,count,patients,lower_better,Acute trusts,reported,,,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,Also called corridor care
