id,label,source_set,parent_domain,subdomain,specialty,metric_type,unit,direction,organisation_scope,scoring_status,nof_domain,nof_subdomain,source_url,notes
NOF_RTT_18W,Percentage of cases waiting 18 weeks or less for elective treatment,nof_2025_26,Elective Care,RTT,,rate,%,higher_better,Acute trusts,scored,Access,Elective care,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_RTT_52W,Percentage of cases waiting more than 52 weeks for elective treatment,nof_2025_26,Elective Care,RTT - long waits,,rate,%,lower_better,Acute trusts,scored,Access,Elective care,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_CANCER_28D,Percentage of patients with cancer diagnosed or ruled out within 28 days of an urgent referral,nof_2025_26,Cancer,Faster diagnosis,,rate,%,higher_better,Acute trusts,scored,Access,Cancer,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_CANCER_62D,Percentage of patients treated for cancer within 62 days of referral,nof_2025_26,Cancer,62-day treatment,,rate,%,higher_better,Acute trusts,scored,Access,Cancer,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_ED_4HR,"Percentage of emergency department attendances admitted, transferred or discharged within 4 hours",nof_2025_26,Emergency Care,ED time to disposition,,rate,%,higher_better,Acute trusts,scored,Access,Urgent and emergency care,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_ED_12HR,Percentage of emergency department attendances spending over 12 hours in the department,nof_2025_26,Emergency Care,ED 12-hour stays,,rate,%,lower_better,Acute trusts,scored,Access,Urgent and emergency care,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_SHMI,Summary Hospital Level Mortality Indicator,nof_2025_26,Quality & Safety,Mortality,,index,,lower_better,Acute trusts,scored,Effectiveness and experience of care,Effectiveness,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,Ratio of observed to expected deaths
NOF_DISCHARGE_READY_DELAY,Average number of days from discharge ready date and actual discharge date,nof_2025_26,Patient Flow & Discharge,Discharge delay,,mean,days,lower_better,"Integrated care boards (contextual) and acute trusts","scored for acute; contextual for ICBs",Effectiveness and experience of care,Discharge / flow,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_READMISSION_RATE,Readmission rate band,nof_2025_26,Patient Flow & Discharge,Readmissions,,rate,%,lower_better,"Acute, community and mental health trusts",scored,Effectiveness and experience of care,Readmissions,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_CQC_INPATIENT_SURVEY,CQC inpatient survey satisfaction rate,nof_2025_26,Patient Experience,Inpatient experience,,score,,higher_better,Acute trusts,scored,Effectiveness and experience of care,Patient experience,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_MATERNITY_SURVEY,National maternity survey score,nof_2025_26,Maternity,Maternity experience,Maternity,score,,higher_better,Acute trusts,contextual,Effectiveness and experience of care,Maternity,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_STAFF_RAISING_CONCERNS,NHS Staff Survey – raising concerns sub-score,nof_2025_26,Workforce & People,Safety culture,,score,,higher_better,All organisations,scored for trusts; contextual for ICBs,Patient safety,Safety culture,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_CQC_SAFE,"CQC safe inspection score, if awarded within the preceding 2 years",nof_2025_26,Quality & Safety,CQC safe domain,,score,,higher_better,All trusts,scored,Patient safety,CQC safety,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_HCAI,"Rates of Healthcare Associated Infection: MRSA, C-Difficile and E-Coli",nof_2025_26,Quality & Safety,Infection control,,rate,,lower_better,Acute trusts,scored,Patient safety,Infection control,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_PRESSURE_ULCER,Percentage of inpatients acquiring a new pressure ulcer,nof_2025_26,Quality & Safety,Harm prevention,,rate,%,lower_better,Acute trusts (contextual),contextual,Patient safety,Harm / pressure ulcers,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
NOF_SICKNESS,Sickness absence rate,nof_2025_26,Workforce & People,Workforce wellbeing,,rate,%,lower_better,All trusts,scored for trusts; contextual for ICBs,People and workforce,Workforce wellbeing,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics,
