id,label,nof_domain,nof_subdomain,scoring_status,organisation_scope,source_url
NOF_RTT_18W,Percentage of cases waiting 18 weeks or less for elective treatment,Access,Elective care,scored,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_RTT_52W,Percentage of cases waiting more than 52 weeks for elective treatment,Access,Elective care,scored,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_CANCER_28D,Percentage of patients with cancer diagnosed or ruled out within 28 days of an urgent referral,Access,Cancer,scored,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_CANCER_62D,Percentage of patients treated for cancer within 62 days of referral,Access,Cancer,scored,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_ED_4HR,"Percentage of emergency department attendances admitted, transferred or discharged within 4 hours",Access,Urgent and emergency care,scored,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_ED_12HR,Percentage of emergency department attendances spending over 12 hours in the department,Access,Urgent and emergency care,scored,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_SHMI,Summary Hospital Level Mortality Indicator,Effectiveness and experience of care,Effectiveness,scored,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_DISCHARGE_READY_DELAY,Average number of days from discharge ready date and actual discharge date,Effectiveness and experience of care,Discharge / flow,scored for acute; contextual for ICBs,Integrated care boards (contextual) and acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_READMISSION_RATE,Readmission rate band,Effectiveness and experience of care,Readmissions,scored,"Acute, community and mental health trusts",https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_CQC_INPATIENT_SURVEY,CQC inpatient survey satisfaction rate,Effectiveness and experience of care,Patient experience,scored,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_MATERNITY_SURVEY,National maternity survey score,Effectiveness and experience of care,Maternity,contextual in graph pending scoring confirmation,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_STAFF_RAISING_CONCERNS,NHS Staff Survey – raising concerns sub-score,Patient safety,Safety culture,scored for trusts; contextual for ICBs,All organisations (contextual only for ICBs),https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_CQC_SAFE,"CQC safe inspection score, if awarded within the preceding 2 years",Patient safety,CQC safety,scored,All trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_HCAI,"Rates of Healthcare Associated Infection: MRSA, C-Difficile and E-Coli",Patient safety,Infection control,scored,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_PRESSURE_ULCER,Percentage of inpatients acquiring a new pressure ulcer,Patient safety,Harm / pressure ulcers,contextual,Acute trusts (contextual),https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_SICKNESS,Sickness absence rate,People and workforce,Workforce wellbeing,scored for trusts; contextual for ICBs,All trusts (contextual only for ICBs),https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_STAFF_ENGAGEMENT,NHS staff survey engagement theme score,People and workforce,Workforce engagement,scored for trusts; contextual for ICBs,All trusts (contextual only for ICBs),https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_NETS_SATISFACTION,National Education and Training Survey overall satisfaction score,People and workforce,Education and training,contextual,All trusts (contextual),https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_PLANNED_SURPLUS_DEFICIT,Planned surplus/deficit,Finance and productivity,Finance,scored for trusts; contextual for ICBs,All organisations (contextual only for ICBs),https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_VARIANCE_TO_PLAN,Variance year-to-date to financial plan,Finance and productivity,Finance,scored for trusts; contextual for ICBs,All organisations (contextual only for ICBs),https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_PRODUCTIVITY_LEVEL,Implied productivity level,Finance and productivity,Productivity,scored for acute trusts; contextual for ICBs,Integrated care boards (contextual only) and acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_TOBACCO_TREATMENT,Percentage of inpatients referred to in-house tobacco treatment services who make a supported attempt to quit stop smoking,Improving health and reducing inequality,Primary prevention,contextual,Acute and community trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_DIAG_6W_INEQUALITIES,Percentage of people waiting over 6 weeks for a diagnostic procedure or test,Improving health and reducing inequality,Primary prevention / diagnostics,contextual,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
NOF_U18_ELECTIVE_GROWTH,Under 18s elective waiting list growth,Improving health and reducing inequality,Inequalities,contextual,Acute trusts,https://www.england.nhs.uk/long-read/nhs-oversight-framework-2025-26/#annex-a-delivery-metrics
